Date,Visitor,PTS,Home,PTS
2021-11-24,DET,93,MIL,114
2021-11-24,MIA,101,MIN,113
2021-11-24,WAS,102,NOP,127
2021-11-24,UTA,110,OKC,104
2021-11-24,ATL,124,SAS,106
2021-11-24,PHI,96,GSW,116
2021-11-24,POR,121,SAC,125
2021-11-26,DET,96,LAC,107
2021-11-26,MIN,115,CHA,133
2021-11-26,PHX,118,NYK,97
2021-11-26,CHI,123,ORL,88
2021-11-26,TOR,97,IND,114
2021-11-26,ATL,132,MEM,100
2021-11-26,WAS,101,OKC,99
2021-11-26,BOS,88,SAS,96
2021-11-26,MIL,120,DEN,109
2021-11-26,NOP,98,UTA,97
2021-11-26,POR,103,GSW,118
2021-11-26,SAC,141,LAL,137
2021-11-27,MIN,121,PHI,120
2021-11-27,NYK,99,ATL,90
2021-11-27,PHX,113,BKN,107
2021-11-27,MIA,107,CHI,104
2021-11-27,ORL,92,CLE,105
2021-11-27,CHA,143,HOU,146
2021-11-27,WAS,120,DAL,114
2021-11-27,NOP,105,UTA,127
2021-11-28,GSW,105,LAC,90
2021-11-28,MIL,118,IND,100
2021-11-28,SAC,101,MEM,128
2021-11-28,BOS,109,TOR,97
2021-11-28,DET,106,LAL,110
2021-11-29,ORL,96,PHI,101
2021-11-29,DEN,120,MIA,111
2021-11-29,CHA,119,CHI,133
2021-11-29,OKC,89,HOU,102
2021-11-29,IND,98,MIN,100
2021-11-29,CLE,114,DAL,96
2021-11-29,WAS,99,SAS,116
2021-11-29,POR,107,UTA,129
2021-11-29,NOP,123,LAC,104
2021-11-30,NYK,110,BKN,112
2021-11-30,MEM,98,TOR,91
2021-11-30,GSW,96,PHX,104
2021-11-30,DET,92,POR,110
2021-11-30,LAL,117,SAC,92
2021-12-01,ATL,114,IND,111
2021-12-01,DEN,103,ORL,108
2021-12-01,MIN,107,WAS,115
2021-12-01,PHI,87,BOS,88
2021-12-01,CLE,111,MIA,85
2021-12-01,CHA,125,MIL,127
2021-12-01,DAL,139,NOP,107
2021-12-01,HOU,114,OKC,110
2021-12-01,SAC,124,LAC,115
2021-12-02,CHI,119,NYK,115
2021-12-02,MIL,93,TOR,97
2021-12-02,OKC,79,MEM,152
2021-12-02,DET,103,PHX,114
2021-12-02,SAS,114,POR,83
2021-12-03,MIA,113,IND,104
2021-12-03,CLE,116,WAS,101
2021-12-03,PHI,98,ATL,96
2021-12-03,MIN,105,BKN,110
2021-12-03,ORL,116,HOU,118
2021-12-03,NOP,107,DAL,91
2021-12-03,BOS,130,UTA,137
2021-12-03,PHX,96,GSW,118
2021-12-03,LAC,119,LAL,115
2021-12-04,DEN,113,NYK,99
2021-12-04,CHI,111,BKN,107
2021-12-04,MIA,102,MIL,124
2021-12-04,MEM,97,DAL,90
2021-12-04,SAS,112,GSW,107
2021-12-04,BOS,145,POR,117
2021-12-04,LAC,99,SAC,104
2021-12-05,UTA,109,CLE,108
2021-12-05,CHA,130,ATL,127
2021-12-05,WAS,90,TOR,102
2021-12-05,NOP,108,HOU,118
2021-12-06,PHI,127,CHA,124
2021-12-06,OKC,114,DET,103
2021-12-06,WAS,110,IND,116
2021-12-06,MEM,105,MIA,90
2021-12-06,DEN,97,CHI,109
2021-12-06,CLE,104,MIL,112
2021-12-06,ATL,121,MIN,110
2021-12-06,SAS,104,PHX,108
2021-12-06,ORL,95,GSW,126
2021-12-06,LAC,102,POR,90
2021-12-07,BKN,102,DAL,99
2021-12-07,NYK,121,SAS,109
2021-12-07,BOS,102,LAL,117
2021-12-08,PHI,110,CHA,106
2021-12-08,CHI,92,CLE,115
2021-12-08,WAS,119,DET,116
2021-12-08,NYK,102,IND,122
2021-12-08,MIL,104,MIA,113
2021-12-08,OKC,110,TOR,109
2021-12-08,BKN,104,HOU,114
2021-12-08,DAL,104,MEM,96
2021-12-08,UTA,136,MIN,104
2021-12-08,DEN,120,NOP,114
2021-12-08,POR,94,GSW,104
2021-12-08,ORL,130,SAC,142
2021-12-08,BOS,111,LAC,114
2021-12-09,UTA,118,PHI,96
2021-12-09,LAL,95,MEM,108
2021-12-09,DEN,111,SAS,123
2021-12-10,SAC,123,CHA,124
2021-12-10,DAL,93,IND,106
2021-12-10,BKN,113,ATL,105
2021-12-10,NYK,87,TOR,90
2021-12-10,MIL,123,HOU,114
2021-12-10,CLE,123,MIN,106
2021-12-10,DET,93,NOP,109
2021-12-10,LAL,116,OKC,95
2021-12-10,BOS,90,PHX,111
2021-12-11,ORL,104,LAC,106
2021-12-11,UTA,123,WAS,98
2021-12-11,SAC,103,CLE,117
2021-12-11,HOU,106,MEM,113
2021-12-11,CHI,92,MIA,118
2021-12-11,GSW,93,PHI,102
2021-12-11,DEN,127,SAS,112
2021-12-12,MIL,112,NYK,97
2021-12-12,BKN,116,DET,104
2021-12-12,DAL,103,OKC,84
2021-12-12,NOP,97,SAS,112
2021-12-12,MIN,116,POR,111
2021-12-12,ORL,94,LAL,106
2021-12-13,MIA,94,CLE,105
2021-12-13,GSW,102,IND,100
2021-12-13,SAC,101,TOR,124
2021-12-13,HOU,132,ATL,126
2021-12-13,MIL,103,BOS,117
2021-12-13,PHI,91,MEM,126
2021-12-13,CHA,96,DAL,120
2021-12-13,WAS,107,DEN,113
2021-12-13,PHX,95,LAC,111
2021-12-14,TOR,129,BKN,131
2021-12-14,GSW,105,NYK,96
2021-12-14,PHX,111,POR,107
2021-12-15,HOU,89,CLE,124
2021-12-15,ATL,111,ORL,99
2021-12-15,MIA,101,PHI,96
2021-12-15,LAL,107,DAL,104
2021-12-15,IND,99,MIL,114
2021-12-15,NOP,113,OKC,110
2021-12-15,CHA,131,SAS,115
2021-12-15,MIN,124,DEN,107
2021-12-15,MEM,113,POR,103
2021-12-15,WAS,105,SAC,119
2021-12-15,LAC,103,UTA,124
2021-12-16,DET,113,IND,122
2021-12-16,PHI,105,BKN,114
2021-12-16,NYK,116,HOU,103
2021-12-16,WAS,98,PHX,118
2021-12-17,MIA,115,ORL,105
2021-12-17,DEN,133,ATL,115
2021-12-17,GSW,111,BOS,107
2021-12-17,MIL,112,NOP,116
2021-12-17,SAS,128,UTA,126
2021-12-17,LAL,92,MIN,110
2021-12-17,CHA,116,POR,125
